Publisher,Game Count,Percentage
Filip Victor,1,0.12%
Funbox Media Ltd,1,0.12%
Rat King Entertainment,1,0.12%
Ripstone,2,0.24%
Playdead,1,0.12%
Quantic Dream,4,0.49%
Prism Game Studios Ltd.,1,0.12%
Benjamin Bryant,1,0.12%
Frogwares,2,0.24%
Red Barrels,2,0.24%
Soviet Games,1,0.12%
Hinterland Studio Inc.,1,0.12%
Double Fine Productions,1,0.12%
Fellow Traveller,2,0.24%
Google,1,0.12%
Subaltern Games,1,0.12%
Crystice Softworks,1,0.12%
Paradox Interactive,2,0.24%
Crowbar Collective,1,0.12%
The SKSE Team,1,0.12%
Blender Foundation,1,0.12%
Shiver Games,3,0.37%
Team Cherry,1,0.12%
Koga Tech Limited,1,0.12%
"CAPCOM Co., Ltd. ",1,0.12%
Microids,4,0.49%
Fishing Planet LLC,1,0.12%
Panic,2,0.24%
Godot Engine,1,0.12%
New Game order,1,0.12%
Hitchcock Games,3,0.37%
Kyle Seeley,2,0.24%
"CAPCOM Co., Ltd.",18,2.19%
Codemasters,4,0.49%
Forever Entertainment S. A.,1,0.12%
Cherry Pop Games,1,0.12%
Wallpaper Engine Team,1,0.12%
Playtika Ltd.,2,0.24%
VRChat Inc.,1,0.12%
RIVER CROW STUDIO,3,0.37%
Zen Studios,1,0.12%
Hi-Rez Studios,2,0.24%
Magic Pixel Kft.,1,0.12%
NukGames,4,0.49%
LizardFactory,1,0.12%
"Bigscreen, Inc.",1,0.12%
Sad Panda Studios,1,0.12%
UL,2,0.24%
Landfall,3,0.37%
VRWERX,1,0.12%
SA Industry,4,0.49%
Telltale,2,0.24%
Annapurna Interactive,2,0.24%
Plug In Digital,1,0.12%
Game Developer X,1,0.12%
Avalanche Studios,1,0.12%
Movie Games S.A.,3,0.37%
ForwardXP,1,0.12%
"KOEI TECMO GAMES CO., LTD.",2,0.24%
SKYOPT,1,0.12%
THQ Nordic,3,0.37%
CCP,1,0.12%
"KRAFTON, Inc.",2,0.24%
Total Mayhem Games,3,0.37%
Wales Interactive,10,1.22%
